"","Strm","Reach","Band","Date","HabitatType","rockCount","othCovCount","totCovCount","per_sand","per_siltClay","per_gravel","per_rock","per_wood","per_litter","per_veg","per_full","Notes","StrmID","SubplotCode"
"66","VICT","1","3",2023-10-14,"MARGIN",9,0,9,10,0,20,5,0,65,0,100,NA,"STRM05","STRM05-3"
"67","VICT","1","4",2023-10-14,"STREAM",4,0,4,35,20,0,5,0,40,0,100,NA,"STRM05","STRM05-4"
"68","VICT","1","4",2023-10-14,"MARGIN",2,0,2,50,15,5,5,0,25,0,100,NA,"STRM05","STRM05-4"
"69","VICT","1","5",2023-10-14,"STREAM",8,0,8,55,10,0,5,0,30,0,100,NA,"STRM05","STRM05-5"
"70","VICT","1","5",2023-10-14,"MARGIN",4,0,4,10,5,10,0,0,75,0,100,NA,"STRM05","STRM05-5"
"71","HMR","1","1",2023-10-14,"STREAM",17,1,18,10,2.5,0,10,2.5,65,10,100,NA,"STRM01","STRM01-1"
"72","HMR","1","1",2023-10-14,"MARGIN",11,0,11,0,0,5,25,0,50,20,100,NA,"STRM01","STRM01-1"
"73","HMR","1","2",2023-10-14,"STREAM",25,2,27,5,0,15,35,5,40,0,100,NA,"STRM01","STRM01-2"
"74","HMR","1","2",2023-10-14,"MARGIN",7,0,7,2.5,0,2.5,65,0,25,5,100,NA,"STRM01","STRM01-2"
"75","HMR","1","3",2023-10-14,"STREAM",27,3,30,10,0,0,60,5,20,5,100,NA,"STRM01","STRM01-3"
"76","HMR","1","3",2023-10-14,"MARGIN",14,1,15,NA,NA,NA,NA,NA,NA,NA,0,NA,"STRM01","STRM01-3"
"77","HMR","1","4",2023-10-14,"STREAM",21,1,22,0,0,25,20,5,40,10,100,NA,"STRM01","STRM01-4"
"78","HMR","1","4",2023-10-14,"MARGIN",12,1,13,10,0,30,25,5,10,20,100,NA,"STRM01","STRM01-4"
"79","HMR","1","5",2023-10-14,"STREAM",20,2,22,0,0,5,35,0,35,25,100,NA,"STRM01","STRM01-5"
"80","HMR","1","5",2023-10-14,"MARGIN",4,0,4,5,5,0,5,0,65,20,100,NA,"STRM01","STRM01-5"
"81","HAR","1","1",2023-10-14,"MARGIN",25,0,25,30,5,0,55,0,10,0,100,NA,"STRM09","STRM09-1"
"82","HAR","1","1",2023-10-14,"STREAM",30,0,30,30,0,15,50,0,5,0,100,NA,"STRM09","STRM09-1"
"83","HAR","1","2",2023-10-14,"MARGIN",14,0,14,35,5,0,45,0,15,0,100,NA,"STRM09","STRM09-2"
"84","HAR","1","2",2023-10-14,"STREAM",23,0,23,45,0,10,40,0,5,0,100,NA,"STRM09","STRM09-2"
"85","HAR","1","3",2023-10-14,"STREAM",17,0,17,55,10,15,15,0,5,0,100,NA,"STRM09","STRM09-3"
"86","HAR","1","3",2023-10-14,"MARGIN",19,0,19,20,10,5,35,0,30,0,100,NA,"STRM09","STRM09-3"
"87","HAR","1","4",2023-10-14,"STREAM",15,0,15,30,10,0,35,0,25,0,100,NA,"STRM09","STRM09-4"
"88","HAR","1","4",2023-10-14,"MARGIN",18,2,20,5,5,10,45,20,15,0,100,NA,"STRM09","STRM09-4"
"89","HAR","1","5",2023-10-14,"STREAM",1,0,1,65,10,5,5,0,15,0,100,NA,"STRM09","STRM09-5"
"90","HAR","1","5",2023-10-14,"MARGIN",3,0,3,45,5,15,5,0,30,0,100,NA,"STRM09","STRM09-5"
"91","RICH","2","1",2023-10-15,"STREAM",33,1,34,20,0,15,30,10,25,0,100,NA,"STRM11","STRM11-1"
"92","RICH","2","1",2023-10-15,"MARGIN",12,0,12,10,15,25,25,0,15,10,100,NA,"STRM11","STRM11-1"
"93","RICH","2","2",2023-10-15,"STREAM",5,1,6,0,5,25,15,30,25,0,100,NA,"STRM11","STRM11-2"
"94","RICH","2","2",2023-10-15,"MARGIN",7,1,8,15,0,35,35,0,15,0,100,NA,"STRM11","STRM11-2"
"95","RICH","2","3",2023-10-15,"STREAM",16,2,18,5,0,15,10,50,20,0,100,NA,"STRM11","STRM11-3"
"96","RICH","2","3",2023-10-15,"MARGIN",7,1,8,35,5,0,20,0,35,5,100,NA,"STRM11","STRM11-3"
"97","RICH","2","4",2023-10-15,"STREAM",29,0,29,0,0,10,80,0,10,0,100,NA,"STRM11","STRM11-4"
"98","RICH","2","4",2023-10-15,"MARGIN",32,0,32,5,0,65,25,0,5,0,100,NA,"STRM11","STRM11-4"
"99","RICH","2","5",2023-10-15,"STREAM",44,0,44,5,0,65,20,0,5,5,100,NA,"STRM11","STRM11-5"
"100","RICH","2","5",2023-10-15,"MARGIN",41,0,41,5,0,75,15,0,5,0,100,NA,"STRM11","STRM11-5"
"101","SHURE","1","1",2023-10-15,"MARGIN",35,0,35,0,0,20,75,0,5,0,100,NA,"STRM03","STRM03-1"
"102","SHURE","1","1",2023-10-15,"STREAM",26,0,26,15,5,5,60,0,15,0,100,NA,"STRM03","STRM03-1"
"103","SHURE","1","2",2023-10-15,"STREAM",16,1,17,50,10,5,25,0,10,0,100,NA,"STRM03","STRM03-2"
"104","SHURE","1","2",2023-10-15,"MARGIN",27,0,27,30,0,25,35,0,10,0,100,NA,"STRM03","STRM03-2"
"105","SHURE","1","3",2023-10-15,"STREAM",18,1,19,25,0,5,55,0,15,0,100,NA,"STRM03","STRM03-3"
"106","SHURE","1","3",2023-10-15,"MARGIN",29,0,29,25,0,30,40,0,5,0,100,NA,"STRM03","STRM03-3"
"107","SHURE","1","4",2023-10-15,"STREAM",29,0,29,0,0,15,70,0,15,0,100,NA,"STRM03","STRM03-4"
"108","SHURE","1","4",2023-10-15,"MARGIN",32,0,32,5,0,5,40,0,40,0,90,NA,"STRM03","STRM03-4"
"109","SHURE","1","5",2023-10-15,"STREAM",35,0,35,5,0,35,50,0,10,0,100,NA,"STRM03","STRM03-5"
"110","SHURE","1","5",2023-10-15,"MARGIN",30,1,31,0,0,20,50,0,30,0,100,NA,"STRM03","STRM03-5"
